MARKET_CD,HSN_CD,HSN_NM,TOWN_CD,TOWN_NM,ZIP,STORE_CD,STORE_NM,ADDR,ISOPEN
HL,06,桃園市,338,蘆竹區,338,3045,桃縣桃楚店,桃園市蘆竹區海山路二段２６２號,Y
HL,26,新竹市,381,東區,300,3047,新竹力晶店,新竹市東區力行一路１２號二廠５樓,Y
HL,16,高雄市,813,左營區,813,3049,高市高育店,高雄市左營區明華一路７２號及辛亥路８７號,Y
HL,03,新北市,242,新莊區,242,3052,北縣莊玲店,新北市新莊區自信街７７號+７５巷２號,Y
HL,05,新竹縣,304,新豐鄉,304,3055,竹縣竹陞店,新竹縣新豐鄉池府路６９號,Y
HL,06,桃園市,334,八德區,334,3056,八德桃定店,桃園市八德區東勇街１號,Y
HL,06,桃園市,326,楊梅區,326,3058,桃縣桃文店,桃園市楊梅區瑞溪路二段１０２號,Y
HL,06,桃園市,325,龍潭區,325,3061,桃縣桃翁店,桃園市龍潭區中豐路７１１號,Y
HL,01,台北市,111,士林區,111,3062,北市士銓店,台北市士林區中山北路七段１８６號,Y
HL,13,雲林縣,640,斗六市,640,3067,斗六雲萬店,雲林縣斗六市萬年路６３２號,Y
HL,19,屏東縣,900,屏東市,900,3069,屏東屏佳店,屏東縣屏東市民族路７５號,Y
HL,06,桃園市,326,楊梅區,326,3072,桃縣桃騰店,桃園市楊梅區瑞溪路一段２１８號,Y
HL,06,桃園市,320,中壢區,320,3077,中壢桃雙店,桃園市中壢區中山東路三段２８２號,Y
HL,26,新竹市,381,東區,300,3078,新竹竹恩店,新竹市東區文昌街６９號、武昌街７９號,Y
HL,01,台北市,103,大同區,103,3080,北市同安店,台北市大同區重慶北路一段６３號,Y
HL,08,台中市,403,西區,403,3081,台中中堂店,台中市西區民生路１０９、１１１號,Y
HL,03,新北市,234,永和區,234,3082,北縣永遠店,新北市永和區福和路７巷１１弄１６號,Y
HL,12,嘉義縣,616,新港鄉,616,3086,嘉縣嘉月店,嘉義縣新港鄉月眉村１２７、１２８-１號,Y
HL,05,新竹縣,302,竹北市,302,3087,竹北竹文店,新竹縣竹北市縣政九路２１５號,Y
HL,01,台北市,103,大同區,103,3088,北市同蝶店,台北市大同區南京西路３０號,Y
HL,10,彰化縣,514,溪湖鎮,514,3090,彰縣彰福店,彰化縣溪湖鎮二溪路二段６１２號,Y
HL,06,桃園市,330,桃園區,330,3092,桃市桃慈店,桃園市桃園區慈光街６３號,Y
HL,06,桃園市,328,觀音區,328,3093,桃縣桃鵬店,桃園市觀音區大觀路二段３１３號,Y
HL,08,台中市,428,大雅區,428,3095,中縣中潭店,台中市大雅區雅潭路四段８６號,Y
