"MARKET_CD","MARKET_NM","HSN_CD","HSN_NM","TOWN_CD","TOWN_NM","ROAD_CD","ROAD_NM","STORE_CD","STORE_NM","ADDR","ISOPEN","ZIP_CD"
"FM","全家便利商店","H","桃園市","75","中壢區","","","14359","中壢榮光店","桃園市中壢區榮安十三街２６２號","Y","320"
"FM","全家便利商店","A","臺北市","5","大安區","","","4497","華視店","台北市大安區光復南路１１６巷２６號","Y","106"
"FM","全家便利商店","F","新北市","34","中和區","","","13129","中和嘉穗店","新北市中和區民利街９１號１樓","Y","235"
"FM","全家便利商店","K","苗栗縣","87","竹南鎮","","","13607","竹南京華店","苗栗縣竹南鎮中華路１２３號１樓","Y","350"
"FM","全家便利商店","N","彰化縣","140","員林市","","","13609","員林安迪店","彰化縣員林市員集路二段８２號","Y","510"
"FM","全家便利商店","B","臺中市","105","西區","","","10155","台中鑫美店","台中市西區美村路一段２２號","Y","403"
"FM","全家便利商店","B","臺中市","126","梧棲區","","","4228","梧棲大庄店","台中市梧棲區大庄里臺灣大道８段５０６號１樓","Y","435"
"FM","全家便利商店","B","臺中市","114","豐原區","","","3428","豐原社皮店","台中市豐原區社皮里大豐路５段４５０號１樓","Y","420"
"FM","全家便利商店","B","臺中市","103","東區","","","14451","台中新富台店","台中市東區富台東街７２號１樓","Y","401"
"FM","全家便利商店","J","新竹縣","67","湖口鄉","","","1314","湖口仁和店","新竹縣湖口鄉鳳凰村仁和路４５號","Y","303"
"FM","全家便利商店","U","花蓮縣","310","吉安鄉","","","8315","吉安福興店","花蓮縣吉安鄉福興路２３２－１號","Y","973"
"FM","全家便利商店","D","臺南市","201","中西區","","","15195","台南五妃店","台南市中西區五妃街２７０號１樓","Y","700"
"FM","全家便利商店","T","屏東縣","270","九如鄉","","","8511","九如東寧店","屏東縣九如鄉東寧路２１５號","Y","904"
"FM","全家便利商店","V","臺東縣","295","台東市","","","4673","台東維新店","台東縣台東市更生路５７５號","Y","950"
"FM","全家便利商店","D","臺南市","204","北區","","","7502","台南北成店","台南市北區北成路３９號","Y","704"
"FM","全家便利商店","M","南投縣","159","埔里鎮","","","10515","埔里金車店","南投縣埔里鎮中正路５３４號","Y","545"
"FM","全家便利商店","O","新竹市","63","東區","","","2004","新竹翠峰店","新竹市東區高峰里高翠路３７５號","Y","300"
"FM","全家便利商店","A","臺北市","1","中正區","","","53","公館店","台北市中正區汀州路三段２５１號","Y","100"
"FM","全家便利商店","A","臺北市","8","士林區","","","14429","新磺溪店","台北市士林區天母西路４０－２號１樓","Y","111"
"FM","全家便利商店","F","新北市","46","淡水區","","","10685","淡水淡水店","新北市淡水區博愛街１４號","Y","251"
"FM","全家便利商店","A","臺北市","12","文山區","","","1705","景和店","台北市文山區羅斯福路六段２７４號","Y","116"
"FM","全家便利商店","E","高雄市","228","新興區","","","10219","高雄福華店","高雄市新興區七賢一路３０１號壹樓角窗部份","Y","800"
"FM","全家便利商店","E","高雄市","232","鼓山區","","","7255","高雄國泰店","高雄市鼓山區九如四路６８７，６８９號","Y","804"
"FM","全家便利商店","A","臺北市","3","中山區","","","13010","中捷店","台北市中山區南京西路１６號Ｂ１","Y","104"
"FM","全家便利商店","F","新北市","35","土城區","","","8757","土城永寧店","新北市土城區中央路三段７４－１號＆７４號１樓","Y","236"
"FM","全家便利商店","B","臺中市","106","北區","","","3473","台中館東店","台中市北區博館東街４８號１樓","Y","404"
"FM","全家便利商店","B","臺中市","111","大里區","","","3478","大里大明店","台中市大里區大明路１６８號１樓","Y","412"
"FM","全家便利商店","K","苗栗縣","93","苑裡鎮","","","9118","苑裡社苓店","苗栗縣苑裡鎮社苓里１１０－５號","Y","358"
"FM","全家便利商店","H","桃園市","86","蘆竹區","","","10307","蘆竹大竹店","桃園市蘆竹區大竹路４９２號","Y","338"
"FM","全家便利商店","J","新竹縣","67","湖口鄉","","","4255","湖口中大店","新竹縣湖口鄉中山路三段５３０號","Y","303"
"FM","全家便利商店","F","新北市","34","中和區","","","15031","中和連新店","新北市中和區連城路５２１之１號１樓","Y","235"
"FM","全家便利商店","N","彰化縣","140","員林市","","","13537","員林黎明店","彰化縣員林市員大路一段７５號","Y","510"
"FM","全家便利商店","C","基隆市","19","七堵區","","","5827","七堵永富店","基隆市七堵區永平里永富路１２０號、崇智街４８號一樓","Y","206"
"FM","全家便利商店","A","臺北市","10","內湖區","","","876","湖安店","台北市內湖區內湖路一段２８５巷１９號１樓","Y","114"
"FM","全家便利商店","M","南投縣","157","草屯鎮","","","4068","草屯金昌店","南投縣草屯鎮富林路一段３２０號","Y","542"
"FM","全家便利商店","H","桃園市","81","桃園區","","","953","桃園東埔店","桃園市桃園區東埔里中正路３７８號","Y","330"
"FM","全家便利商店","K","苗栗縣","90","獅潭鄉","","","5501","苗栗獅潭店","苗栗縣獅潭鄉新店村新店１５０之６號一樓","Y","354"
"FM","全家便利商店","B","臺中市","116","石岡區","","","14682","石岡鐵馬店","台中市石岡區豐勢路１１０３號","Y","422"
"FM","全家便利商店","B","臺中市","106","北區","","","3485","台中漢文店","台中市北區漢口路四段５７號","Y","404"
"FM","全家便利商店","B","臺中市","109","南屯區","","","3793","台中風華店","台中市南屯區南屯里河南路四段６９２號一樓","Y","408"
"FM","全家便利商店","B","臺中市","108","西屯區","","","10512","台中好市店","台中市西屯區福星路３３０之６號","Y","407"
"FM","全家便利商店","T","屏東縣","277","內埔鄉","","","15541","內埔屏科大店","屏東縣內埔鄉學府路１號","Y","912"
